,电影名称,评分,类型,制片国家/地区,时间,票房（万）,国产
1236,叶问外传：张天志 葉問外傳：張天志,5.5,剧情 / 动作 / 犯罪,中国大陆/中国香港,2018,12822.0,1.0
1237,名侦探柯南：零的执行人 名探偵コナン ゼロの執行人,5.7,动画 / 悬疑,日本,2018,12708.0,0.0
1238,天气预爆,3.8,喜剧 / 奇幻,中国大陆,2018,12270.0,1.0
1239,阿尔法：狼伴归途 Alpha,6.4,剧情 / 冒险,美国/加拿大/中国大陆,2018,11383.0,1.0
1240,胡桃夹子和四个王国 The Nutcracker And The Four Realms,5.9,奇幻 / 冒险,美国,2018,11233.0,0.0
1241,风语咒,6.8,动画 / 奇幻,中国大陆,2018,11189.0,1.0
1242,21克拉,4.5,喜剧 / 爱情,中国大陆,2018,10983.0,1.0
1243,游侠索罗：星球大战外传 Solo: A Star Wars Story,6.8,动作 / 科幻 / 冒险,美国,2018,10621.0,0.0
1244,水形物语 The Shape of Water,7.2,剧情 / 爱情 / 奇幻,美国/加拿大/墨西哥,2018,10517.0,0.0
1245,神秘世界历险记4,5.3,动画,中国大陆,2018,10427.0,1.0
1246,马戏之王 The Greatest Showman,7.7,剧情 / 传记 / 歌舞,美国,2018,10099.0,0.0
1247,幸福马上来,3.7,喜剧,中国大陆,2018,9841.0,1.0
1248,小偷家族 万引き家族,8.7,剧情 / 犯罪 / 家庭,日本,2018,9622.0,0.0
1249,飓风奇劫 The Hurricane Heist,5.8,动作 / 犯罪 / 惊悚,英国/美国,2018,9492.0,0.0
1250,厕所英雄 Toilet - Ek Prem Katha,7.1,剧情 / 喜剧,印度,2018,9446.0,0.0
1251,金蝉脱壳2：冥府 Escape Plan 2: Hades,3.2,动作 / 惊悚,美国/中国大陆,2018,8885.0,1.0
1252,浴血广昌,4.4,历史 / 战争,中国大陆,2018,8669.0,1.0
1253,昨日青空,6.1,爱情 / 动画,中国大陆,2018,8322.0,1.0
1254,你好，之华,6.7,剧情 / 爱情,中国大陆,2018,7984.0,1.0
1255,武林怪兽,3.5,喜剧 / 奇幻 / 武侠,中国大陆/中国香港,2018,7858.0,1.0
1256,巴霍巴利王2：终结 Baahubali 2: The Conclusion,7.0,剧情 / 动作 / 奇幻,印度,2018,7675.0,0.0
1257,阿凡提之奇缘历险,4.7,喜剧 / 动画,中国大陆,2018,7599.0,1.0
1258,雪怪大冒险 Smallfoot,7.3,喜剧 / 动画 / 冒险 / 歌舞,美国,2018,7476.0,0.0
1259,冰雪女王3：火与冰 Снежная королева 3: Огонь и лед,4.5,动画 / 冒险 / 家庭,俄罗斯/中国大陆,2018,7415.0,1.0
1260,潜艇总动员：海底两万里,4.0,动画 / 奇幻 / 冒险,中国大陆,2018,7239.0,1.0
1261,泄密者 洩密者們,5.3,剧情 / 犯罪,中国香港,2018,7058.0,1.0
1262,龙虾刑警,4.8,喜剧 / 动作 / 犯罪,中国大陆,2018,6850.0,1.0
1263,印度合伙人 Padman,7.7,剧情 / 喜剧 / 传记,印度,2018,6680.0,0.0
1264,湮灭 Annihilation,7.2,剧情 / 科幻 / 惊悚,美国/英国,2018,6582.0,0.0
1265,闺蜜2,2.7,喜剧 / 爱情,中国香港/中国大陆,2018,6412.0,1.0
1266,英雄本色2018,4.5,剧情 / 动作,中国大陆/中国香港,2018,6187.0,1.0
1267,我的间谍前男友 The Spy Who Dumped Me,6.1,喜剧 / 动作,美国/加拿大,2018,6131.0,0.0
1268,忌日快乐 Happy Death Day,7.0,悬疑 / 惊悚 / 恐怖,美国,2018,6083.0,0.0
1269,印度暴徒 Thugs of Hindostan,5.9,喜剧 / 动作 / 冒险,印度,2018,5884.0,0.0
1270,新灰姑娘 Cinderella 3D,4.4,动画 / 奇幻 / 冒险,美国/中国大陆,2018,5810.0,1.0
1271,神奇马戏团之动物饼干 Magical Circus: Animal Crackers,5.7,喜剧 / 动画 / 奇幻 / 冒险,美国/西班牙/中国大陆/韩国/中国香港,2018,5703.0,1.0
1272,暴裂无声,8.2,剧情 / 犯罪 / 悬疑,中国大陆,2018,5398.0,1.0
1273,完美陌生人 Perfetti sconosciuti,8.5,剧情 / 喜剧,意大利,2018,5341.0,0.0
1274,流浪猫鲍勃 A Street Cat Named Bob,7.9,剧情 / 喜剧 / 传记,英国,2018,5284.0,0.0
1275,深海越狱 Black Water,4.2,动作 / 冒险,美国,2018,5108.0,0.0
1276,遇见你真好,4.5,剧情 / 喜剧 / 爱情,中国大陆,2018,5083.0,1.0
1277,狗十三,8.2,剧情 / 家庭,中国大陆,2018,5071.0,1.0
1278,断片之险途夺宝,2.9,喜剧 / 冒险,中国大陆,2018,4987.0,1.0
1279,谜巢,3.4,动作 / 冒险,中国大陆/澳大利亚,2018,4856.0,1.0
1280,镰仓物语 DESTINY 鎌倉ものがたり,6.9,剧情 / 奇幻,日本,2018,4815.0,0.0
1281,小马宝莉大电影 My Little Pony: The Movie,6.7,喜剧 / 动画 / 冒险 / 歌舞,美国/加拿大,2018,4667.0,0.0
1282,爸，我一定行的,6.3,剧情 / 喜剧 / 家庭,中国大陆,2018,4604.0,1.0
1283,通勤营救 The Commuter,6.5,动作 / 犯罪 / 惊悚,美国/英国,2018,4509.0,0.0
1284,犬之岛 Isle of Dogs,8.2,喜剧 / 动画 / 冒险,德国/日本/美国/英国,2018,4331.0,0.0
1285,卧底巨星,3.5,喜剧 / 动作,中国大陆/中国香港,2018,3889.0,1.0
1286,战神纪,3.4,奇幻 / 冒险,中国大陆,2018,3780.0,1.0
1287,大闹西游,4.9,喜剧 / 动画 / 冒险,中国大陆,2018,3723.0,1.0
1288,我是你妈,4.8,剧情 / 喜剧,中国大陆,2018,3663.0,1.0
1289,苏丹 Sultan,6.7,剧情 / 运动,印度,2018,3569.0,0.0
1290,妈妈咪鸭,7.0,喜剧 / 动画 / 冒险 / 家庭,中国大陆/美国,2018,3554.0,1.0
1291,脱单告急,5.4,喜剧 / 爱情,中国大陆,2018,3463.0,1.0
1292,冰封侠：时空行者,2.8,动作 / 奇幻,中国大陆/中国香港,2018,3413.0,1.0
1293,低压槽：欲望之城 低壓槽,4.3,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2018,3293.0,1.0
1294,的士速递5 Taxi 5,5.4,喜剧 / 动作 / 犯罪,法国,2018,3065.0,0.0
1295,奇葩朵朵,4.2,喜剧 / 爱情,中国大陆,2018,3001.0,1.0
1296,浪矢解忧杂货店 ナミヤ雑貨店の奇蹟,7.1,剧情 / 奇幻,日本,2018,2864.0,0.0
1297,恐龙王,5.9,喜剧 / 动画 / 冒险,中国大陆,2018,2833.0,1.0
1298,网络谜踪 Searching,8.5,剧情 / 犯罪 / 悬疑 / 惊悚,美国/俄罗斯,2018,2819.0,0.0
1299,传奇的诞生 Pelé: Birth of a Legend,7.7,剧情 / 传记 / 运动,美国,2018,2666.0,0.0
1300,第七个小矮人 The 7th Dwarf,6.3,喜剧 / 动画 / 冒险,德国,2018,2525.0,0.0
1301,宝贝儿,5.3,剧情,中国大陆,2018,2449.0,1.0
1302,虎胆追凶 Death Wish,6.5,动作 / 犯罪 / 惊悚,美国,2018,2199.0,0.0
1303,猫与桃花源,6.0,动画 / 冒险 / 家庭,中国大陆,2018,2089.0,1.0
1304,魔镜奇缘2,6.6,剧情 / 传记 / 历史,法国/比利时/德国,2018,2046.0,0.0
1305,玛丽与魔女之花 メアリと魔女の花,6.2,动画 / 奇幻 / 冒险,日本,2018,1908.0,0.0
1306,滴答屋 The House with a Clock in its Walls,5.4,喜剧 / 奇幻 / 惊悚 / 冒险,美国/印度/加拿大,2018,1892.0,0.0
1307,功夫联盟,3.3,剧情 / 动作,中国大陆,2018,1763.0,1.0
1308,哪吒之魔童降世,8.4,剧情 / 喜剧 / 动画 / 奇幻,中国大陆,2019,497267.0,1.0
1309,流浪地球,7.9,科幻 / 冒险 / 灾难,中国大陆,2019,464391.00000000006,1.0
1310,复仇者联盟4：终局之战 Avengers: Endgame,8.5,剧情 / 动作 / 科幻 / 奇幻 / 冒险,美国,2019,424111.0,0.0
1311,我和我的祖国,7.6,剧情,中国大陆,2019,317131.0,1.0
1312,中国机长,6.6,剧情 / 传记 / 灾难,中国大陆,2019,286906.0,1.0
1313,疯狂的外星人,6.4,喜剧 / 科幻,中国大陆,2019,220202.0,1.0
1314,飞驰人生,6.9,喜剧,中国大陆,2019,171356.0,1.0
1315,烈火英雄,6.4,剧情 / 灾难,中国大陆,2019,169099.0,1.0
1316,少年的你,8.2,剧情 / 爱情 / 犯罪,中国大陆/中国香港,2019,154490.0,1.0
1317,"速度与激情：特别行动 Fast &amp, Furious Presents: Hobbs &amp, Shaw",6.3,喜剧 / 动作 / 冒险,美国/日本,2019,143003.0,0.0
1318,蜘蛛侠：英雄远征 Spider-Man: Far from Home,7.6,动作 / 科幻 / 冒险,美国,2019,141097.0,0.0
1319,扫毒2天地对决 掃毒2：天地對決,6.0,剧情 / 动作 / 犯罪 / 悬疑,中国大陆/中国香港,2019,129550.0,1.0
1320,误杀,7.5,剧情 / 犯罪 / 悬疑,中国大陆,2019,120853.0,1.0
1321,叶问4：完结篇 葉問4：完結篇,6.8,剧情 / 动作,中国大陆/中国香港,2019,118423.0,1.0
1322,大黄蜂 Bumblebee,7.0,动作 / 科幻 / 冒险,美国/中国大陆,2019,114170.0,1.0
1323,攀登者,6.0,剧情 / 爱情 / 冒险,中国大陆,2019,108247.0,1.0
1324,惊奇队长 Captain Marvel,6.8,动作 / 科幻 / 冒险,美国/澳大利亚,2019,103326.0,0.0
1325,比悲伤更悲伤的故事 比悲傷更悲傷的故事,4.8,爱情,中国台湾,2019,95351.0,1.0
1326,哥斯拉2：怪兽之王 Godzilla: King of the Monsters,6.2,动作 / 科幻 / 冒险 / 灾难,美国/日本/中国大陆/加拿大,2019,93458.0,1.0
1327,阿丽塔：战斗天使 Alita: Battle Angel,7.5,动作 / 科幻 / 冒险,美国/日本/加拿大,2019,88402.0,0.0
1328,银河补习班,6.2,剧情,中国大陆,2019,87178.0,1.0
1329,冰雪奇缘2 Frozen II,7.0,喜剧 / 动画 / 冒险 / 歌舞,美国,2019,86099.0,0.0
1330,狮子王 The Lion King,7.2,剧情 / 动画 / 冒险,美国,2019,82948.0,0.0
1331,反贪风暴4 P風暴,5.9,动作 / 犯罪,中国香港/中国大陆,2019,79424.0,1.0
1332,熊出没·原始时代,6.6,喜剧 / 动画 / 冒险,中国大陆,2019,71123.0,1.0
1333,使徒行者2：谍影行动,6.2,剧情 / 动作 / 犯罪,中国大陆/中国香港,2019,69741.0,1.0
1334,宠爱,5.9,剧情 / 喜剧 / 爱情,中国大陆,2019,68428.0,1.0
1335,大侦探皮卡丘 Pokémon Detective Pikachu,6.4,喜剧 / 动画 / 奇幻 / 冒险,美国/日本/英国/加拿大,2019,63925.0,0.0
1336,新喜剧之王,5.7,剧情 / 喜剧,中国大陆/中国香港,2019,62298.0,1.0
1337,绿皮书 Green Book,8.9,剧情 / 喜剧 / 传记 / 音乐,美国/中国大陆,2019,47712.0,1.0
1338,白蛇：缘起,7.8,爱情 / 动画 / 奇幻,中国大陆/美国,2019,44344.0,1.0
1339,最好的我们,5.1,剧情 / 爱情,中国大陆,2019,41242.0,1.0
1340,X战警：黑凤凰 Dark Phoenix,5.7,动作 / 科幻 / 冒险,美国/加拿大,2019,40839.0,0.0
1341,诛仙1 诛仙 Ⅰ,4.5,爱情 / 奇幻 / 古装,中国大陆,2019,40233.0,1.0
1342,“大”人物,6.4,动作 / 犯罪,中国大陆,2019,37750.0,1.0
1343,何以为家 ????????,9.1,剧情,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,2019,37114.0,0.0
1344,阿拉丁 Aladdin,7.4,爱情 / 奇幻 / 冒险 / 歌舞,美国,2019,36748.0,0.0
1345,驯龙高手3 How to Train Your Dragon: The Hidden World,7.4,动画 / 奇幻 / 冒险,美国,2019,36188.0,0.0
1346,终结者：黑暗命运 Terminator: Dark Fate,6.8,动作 / 科幻 / 冒险,美国/西班牙/匈牙利,2019,35373.0,0.0
1347,老师·好,6.6,剧情,中国大陆,2019,35308.0,1.0
1348,沉睡魔咒2 Maleficent: Mistress of Evil,5.9,奇幻 / 冒险,美国/英国,2019,34530.0,0.0
1349,调音师 Andhadhun,8.2,喜剧 / 犯罪 / 悬疑 / 惊悚,印度,2019,32443.0,0.0
1350,罗小黑战记,8.0,动作 / 动画 / 奇幻,中国大陆,2019,31195.0,1.0
1351,黑衣人：全球追缉 Men in Black International,5.5,喜剧 / 动作 / 科幻,美国,2019,30695.0,0.0
1352,追龙Ⅱ 追龍2：賊王,5.4,剧情 / 动作 / 犯罪,中国香港/中国大陆,2019,30484.0,1.0
1353,决战中途岛 Midway,7.5,剧情 / 历史 / 战争,中国大陆/中国香港/加拿大/美国,2019,29152.0,1.0
1354,勇敢者游戏2：再战巅峰 Jumanji: The Next Level,5.9,喜剧 / 动作 / 奇幻 / 冒险,美国,2019,28818.0,0.0
1355,死侍2：我爱我家 Deadpool 2,7.3,喜剧 / 动作 / 科幻 / 冒险,美国,2019,28013.0,0.0
1356,小小的愿望,5.0,剧情 / 喜剧,中国大陆,2019,26683.0,1.0
1357,犯罪现场 犯罪現場,6.2,犯罪 / 悬疑 / 惊悚,中国香港,2019,25339.999999999996,1.0
1358,我为你牺牲,5.7,剧情 / 动作,中国大陆,2019,24798.0,1.0
1359,双子杀手 Gemini Man,6.8,剧情 / 动作 / 科幻,美国/中国大陆,2019,23393.0,1.0
1360,名侦探柯南：绀青之拳 名探偵コナン 紺青の拳,5.8,动画 / 悬疑,日本,2019,23127.0,0.0
1361,密室逃生 Escape Room,7.1,悬疑 / 惊悚,美国/南非,2019,22700.0,0.0
1362,大约在冬季,5.0,剧情 / 爱情,中国大陆,2019,22411.0,1.0
1363,受益人,6.5,剧情 / 喜剧 / 爱情,中国大陆,2019,21660.0,1.0
1364,航海王：狂热行动 ONE PIECE STAMPEDE,7.5,动画 / 冒险,日本,2019,20402.0,0.0
1365,南方车站的聚会,7.4,剧情 / 犯罪,中国大陆/法国,2019,20168.0,1.0
1366,玩具总动员4 Toy Story 4,8.5,喜剧 / 动画 / 奇幻,美国,2019,20005.0,0.0
1367,利刃出鞘 Knives Out,8.1,剧情 / 喜剧 / 犯罪 / 悬疑,美国,2019,19892.0,0.0
1368,"一条狗的使命2 A Dog&#39,s Journey",6.9,剧情 / 喜剧 / 家庭,中国大陆/印度/中国香港/美国,2019,19537.0,1.0
1369,半个喜剧,7.3,喜剧 / 爱情,中国大陆,2019,18844.0,1.0
1370,沉默的证人,5.3,动作 / 犯罪,中国大陆/中国香港,2019,17913.0,1.0
1371,一吻定情,4.4,喜剧 / 爱情,中国台湾/中国大陆,2019,17223.0,1.0
1372,天·火,4.2,动作 / 冒险 / 灾难,中国大陆,2019,16982.0,1.0
1373,只有芸知道,6.3,剧情 / 爱情,中国大陆,2019,15859.0,1.0
1374,爱宠大机密2 The Secret Life of Pets 2,6.8,喜剧 / 动画 / 冒险,美国,2019,15331.999999999998,0.0
1375,神探蒲松龄,3.8,喜剧 / 动作 / 奇幻 / 古装,中国大陆,2019,15174.0,1.0
1376,小飞象 Dumbo,6.5,奇幻 / 冒险,美国/英国/澳大利亚/加拿大,2019,14739.0,0.0
1377,星球大战9：天行者崛起 Star Wars: The Rise of Skywalker,6.2,动作 / 科幻 / 冒险,美国,2019,14379.0,0.0
1378,"海上钢琴师 La leggenda del pianista sull&#39,oceano",9.3,剧情 / 音乐,意大利,2019,14268.0,0.0
1379,愤怒的小鸟2 The Angry Birds Movie 2,6.9,喜剧 / 动画 / 冒险,芬兰/美国,2019,14013.0,0.0
1380,哆啦A梦：大雄的月球探险记 映画ドラえもん のび太の月面探査記,7.2,剧情 / 动画,日本,2019,13037.0,0.0
1381,小猪佩奇过大年,3.8,儿童 / 动画 / 歌舞 / 家庭,中国大陆/英国,2019,12224.0,1.0
1382,上海堡垒,2.9,爱情 / 战争 / 科幻,中国大陆,2019,12180.0,1.0
1383,下一任：前任,2.8,爱情,中国台湾/中国大陆,2019,12002.0,1.0
1384,决胜时刻,6.4,剧情 / 传记 / 历史,中国大陆,2019,11684.000000000002,1.0
1385,廉政风云 廉政風雲 煙幕,5.4,剧情 / 犯罪 / 悬疑,中国香港/中国大陆,2019,11229.0,1.0
1386,海市蜃楼 Durante la tormenta,7.6,科幻 / 悬疑 / 惊悚,西班牙,2019,11057.999999999998,0.0
1387,一个母亲的复仇 Mom,6.8,剧情 / 犯罪,印度,2019,11017.999999999998,0.0
1388,小Q,6.5,剧情,中国大陆/中国香港,2019,10991.0,1.0
1389,夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,8.0,剧情 / 动画 / 奇幻,日本,2019,10914.0,0.0
1390,雪人奇缘 Abominable,7.1,喜剧 / 动画 / 冒险,美国/中国大陆,2019,10752.0,1.0
1391,鼠胆英雄,5.2,喜剧,中国大陆,2019,10088.0,1.0
1392,波西米亚狂想曲 Bohemian Rhapsody,8.6,剧情 / 传记 / 同性 / 音乐,英国/美国,2019,9827.0,0.0
1393,绝杀慕尼黑 Движение вверх,8.1,剧情 / 运动,俄罗斯,2019,9120.0,0.0
1394,催眠·裁决 催眠裁決,5.7,犯罪 / 悬疑,中国香港/中国大陆,2019,8547.0,1.0
1395,全职高手之巅峰荣耀,5.5,剧情 / 动画,中国大陆,2019,8482.0,1.0
1396,巨鳄风暴 Crawl,5.7,剧情 / 惊悚 / 灾难,美国/塞尔维亚/加拿大,2019,7412.0,0.0
1397,"霹雳娇娃 Charlie&#39,s Angels",5.3,动作 / 冒险,美国,2019,7403.0,0.0
1398,被光抓走的人,6.9,剧情 / 爱情 / 科幻,中国大陆,2019,7086.0,1.0
1399,祈祷落幕时 祈りの幕が下りる時,7.9,剧情 / 悬疑,日本,2019,6758.0,0.0
1400,天使陷落 Angel Has Fallen,6.0,动作 / 犯罪 / 惊悚,美国,2019,6696.0,0.0
1401,风中有朵雨做的云,7.2,剧情 / 犯罪 / 悬疑,中国大陆,2019,6449.0,1.0
1402,亲爱的新年好,5.5,剧情 / 爱情,中国大陆,2019,6275.0,1.0
1403,人间·喜剧,3.3,喜剧,中国大陆,2019,6256.0,1.0
1404,猪八戒·传说,2.2,喜剧 / 奇幻,中国大陆,2019,6217.0,1.0
1405,特警队,5.0,动作,中国大陆,2019,5709.0,1.0
1406,友情以上 ?????..????????????????,6.2,喜剧 / 爱情,泰国,2019,5184.0,0.0
1407,碟仙,4.8,惊悚 / 恐怖,中国大陆,2019,5131.0,1.0
1408,掠食城市 Mortal Engines,6.3,动作 / 科幻 / 冒险,美国/新西兰/日本,2019,5020.0,0.0
1409,妈阁是座城,5.8,剧情,中国大陆,2019,5012.0,1.0
1410,五月天人生无限公司 五月天人生無限公司,8.3,剧情 / 纪录片 / 音乐,中国台湾,2019,4971.0,1.0
1411,吹哨人,5.3,剧情 / 犯罪 / 悬疑,中国大陆,2019,4861.0,1.0
1412,神奇乐园历险记 Wonder Park,6.1,喜剧 / 动画 / 奇幻 / 冒险,美国/西班牙,2019,4657.0,0.0
1413,地久天长,8.0,剧情 / 家庭,中国大陆,2019,4456.0,1.0
1414,狂暴凶狮 Prooi,5.0,喜剧 / 惊悚,荷兰,2019,4425.0,0.0
1415,铤而走险,6.0,剧情 / 犯罪,中国大陆,2019,4380.0,1.0
1416,一生有你2019,3.9,爱情,中国大陆,2019,4124.0,1.0
1417,你是凶手,5.5,剧情 / 犯罪 / 悬疑,中国大陆,2019,4106.0,1.0
1418,解放·终局营救,4.4,剧情 / 历史 / 战争,中国大陆,2019,4106.0,1.0
1419,跳舞吧！大象,5.0,剧情 / 喜剧 / 歌舞,中国大陆,2019,3874.0,1.0
1420,徒手攀岩 Free Solo,8.8,纪录片,美国,2019,3616.0,0.0
1421,"一条狗的回家路 A Dog&#39,s Way Home",6.8,剧情 / 冒险,中国大陆/美国,2019,3604.0,1.0
1422,无所不能 Kaabil,7.0,动作 / 犯罪 / 悬疑,印度,2019,3480.0,0.0
1423,猪猪侠·不可思议的世界,4.6,动画,中国大陆,2019,3373.0,1.0
1424,古田军号,6.9,剧情 / 历史 / 战争,中国大陆,2019,3312.0,1.0
1425,家和万事惊 家和萬事驚,5.9,喜剧 / 家庭,中国大陆/中国香港,2019,3247.0,1.0
1426,我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～,6.9,动作 / 动画,日本,2019,3173.0,0.0
1427,龙珠超：布罗利 ドラゴンボール超 ブロリー,7.2,动作 / 动画 / 奇幻 / 冒险,日本,2019,3083.0,0.0
1428,秦明·生死语者,4.1,犯罪 / 悬疑,中国大陆,2019,2960.0,1.0
1429,钢铁飞龙之奥特曼崛起,3.1,动作 / 科幻 / 动画,中国大陆,2019,2883.0,1.0
1430,送我上青云,7.0,剧情,中国大陆,2019,2875.0,1.0
1431,天气之子 天気の子,7.0,爱情 / 动画 / 奇幻,日本,2019,2846.0,0.0
1432,红星照耀中国,6.1,动作 / 犯罪 / 悬疑,中国大陆,2019,2803.0,1.0
1433,"命运之夜——天之杯Ⅰ：恶兆之花 劇場版 Fate/stay night [Heaven&#39,s Feel] I. presage flower",7.4,动画 / 奇幻,日本,2019,2470.0,0.0
1434,深夜食堂,4.9,剧情,中国大陆,2019,2391.0,1.0
1435,我想吃掉你的胰脏 君の膵臓をたべたい,6.9,爱情 / 动画,日本,2019,2372.0,0.0
1436,潜艇总动员：外星宝贝计划,4.7,剧情 / 爱情,中国大陆,2019,2344.0,1.0
1437,冰雪女王4：魔镜世界 The Snow Queen: Mirrorlands,5.5,动画 / 奇幻 / 冒险 / 家庭,俄罗斯,2019,2341.0,0.0
1438,触不可及(美版) The Upside,7.5,剧情 / 喜剧,美国,2019,2340.0,0.0
1439,星际探索 Ad Astra,6.8,科幻 / 冒险,美国/巴西/中国大陆,2019,2251.0,1.0
1440,"命运之夜——天之杯Ⅱ：迷失之蝶 劇場版 Fate/stay night [Heaven&#39,s Feel] II. lost butterfly",7.6,剧情 / 动画 / 奇幻,日本,2019,2232.0,0.0
1441,巧虎大飞船历险记,7.4,儿童 / 动画,中国大陆,2019,2230.0,1.0
1442,素人特工,3.4,喜剧 / 动作 / 冒险,中国大陆,2019,2225.0,1.0
1443,唐顿庄园 Downton Abbey,8.0,剧情,英国/美国,2019,2126.0,0.0
1444,宝莱坞机器人2.0：重生归来 2.0,5.4,动作 / 科幻 / 惊悚,印度,2019,2114.0,0.0
1445,长安道,6.0,剧情 / 犯罪 / 悬疑,中国大陆,2019,2104.0,1.0
1446,我的拳王男友,4.6,爱情 / 运动,中国大陆,2019,2081.0,1.0
1447,八子,4.1,动作 / 历史 / 战争,中国大陆,2019,2030.0,1.0
1448,赛尔号大电影7：疯狂机器城,4.7,儿童 / 喜剧 / 动画 / 奇幻 / 冒险,中国大陆,2019,2025.0,1.0
1449,打过长江去,4.1,剧情 / 战争,中国大陆,2019,1984.0,1.0
1450,海蒂和爷爷 Heidi,9.3,剧情 / 冒险 / 家庭,德国/瑞士,2019,1978.0,0.0
1451,悟空奇遇记,2.8,喜剧 / 动画,中国大陆,2019,1871.0,1.0
1452,狗眼看人心,5.5,剧情 / 家庭,中国大陆,2019,1866.0,1.0
1453,八佰,7.5,剧情 / 历史 / 战争,中国大陆,2020,309137.0,1.0
1454,我和我的家乡,7.0,剧情 / 喜剧,中国大陆,2020,282296.0,1.0
1455,姜子牙,6.6,剧情 / 动画 / 奇幻,中国大陆,2020,159770.0,1.0
1456,送你一朵小红花,7.2,剧情,中国大陆,2020,143152.0,1.0
1457,拆弹专家2,7.4,动作 / 犯罪,中国大陆/中国香港,2020,131477.0,1.0
1458,金刚川,6.5,剧情 / 战争,中国大陆,2020,111500.0,1.0
1459,温暖的抱抱,5.2,喜剧,中国大陆,2020,85119.0,1.0
1460,夺冠,7.1,剧情 / 运动,中国大陆/中国香港,2020,82737.0,1.0
1461,除暴,6.1,剧情 / 动作 / 犯罪,中国香港/中国大陆,2020,53700.0,1.0
1462,我在时间尽头等你,5.3,爱情 / 奇幻,中国大陆,2020,50110.0,1.0
1463,紧急救援,5.9,动作 / 灾难,中国大陆/中国香港,2020,48316.0,1.0
1464,信条 Tenet,7.6,剧情 / 动作 / 科幻,美国/英国,2020,45202.0,0.0
1465,沐浴之王,6.0,喜剧,中国大陆,2020,40365.0,1.0
1466,心灵奇旅 Soul,8.7,动画 / 奇幻 / 音乐,美国,2020,36181.0,0.0
1467,疯狂原始人2 The Croods: A New Age,7.7,喜剧 / 动画 / 冒险,美国,2020,34359.0,0.0
1468,如果声音不记得,3.9,爱情 / 奇幻,中国大陆,2020,33449.0,1.0
1469,一点就到家,6.5,剧情 / 喜剧,中国大陆,2020,30619.0,1.0
1470,急先锋,4.4,动作,中国大陆,2020,28705.0,1.0
1471,花木兰 Mulan,4.9,动作 / 冒险 / 古装,美国/中国香港,2020,27660.999999999996,1.0
1472,赤狐书生,4.8,喜剧 / 奇幻 / 古装,中国大陆,2020,18507.0,1.0
1473,神奇女侠1984 Wonder Woman 1984,6.1,动作 / 奇幻 / 冒险,美国/英国/西班牙,2020,15852.0,0.0
1474,多力特的奇幻冒险 Dolittle,5.7,喜剧 / 奇幻 / 冒险,美国/中国大陆/英国,2020,13534.0,1.0
1475,一秒钟,7.6,剧情,中国大陆,2020,12911.999999999998,1.0
1476,数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆,7.3,动画 / 冒险,日本,2020,12135.0,0.0
1477,喜宝,3.3,剧情 / 爱情,中国大陆,2020,10875.0,1.0
1478,变身特工 Spies in Disguise,7.3,喜剧 / 动作 / 科幻 / 动画,美国,2020,10356.0,0.0
1479,地狱男爵：血皇后崛起 Hellboy,5.7,动作 / 奇幻 / 冒险,美国,2020,8399.0,0.0
