,电影名称,评分,类型,制片国家/地区,时间,票房（万）,国产
1480,风平浪静,6.2,剧情 / 爱情 / 犯罪,中国大陆,2020,8196.0,1.0
1481,汪汪队立大功之超能救援 PAW Patrol: Mighty Pups,6.0,儿童 / 动画 / 冒险,美国/加拿大,2020,7228.0,0.0
1482,1/2的魔法 Onward,7.6,喜剧 / 动画 / 奇幻 / 冒险,美国,2020,7013.0,0.0
1483,热血合唱团 熱血合唱團,4.5,剧情,中国香港,2020,6997.0,1.0
1484,1917,8.5,剧情 / 战争,美国/英国/印度/西班牙/加拿大/中国大陆,2020,6780.0,1.0
1485,明天你是否依然爱我,4.0,剧情 / 爱情,中国大陆/中国香港,2020,6397.0,1.0
1486,美丽人生 La vita è bella,9.6,剧情 / 喜剧 / 爱情 / 战争,意大利,2020,5814.0,0.0
1487,哆啦A梦：大雄的新恐龙 映画ドラえもん のび太の新恐竜,7.1,动画 / 奇幻 / 冒险,日本,2020,5700.0,0.0
1488,秀美人生,6.9,剧情 / 传记,中国大陆,2020,5170.0,1.0
1489,荞麦疯长,4.1,剧情 / 爱情,中国大陆,2020,5135.0,1.0
1490,紫罗兰永恒花园外传：永远与自动手记人偶 ヴァイオレット?エヴァーガーデン 外伝 - 永遠と自動手記人形 -,7.4,剧情 / 动画,日本,2020,4859.0,0.0
1491,鲨海逃生 47 Meters Down: Uncaged,5.1,惊悚 / 冒险,英国,2020,4718.0,0.0
1492,小妇人 Little Women,8.0,剧情 / 爱情,美国,2020,4519.0,0.0
1493,喋血战士 Bloodshot,5.5,动作 / 科幻,中国大陆/美国,2020,4427.0,1.0
1494,动物特工局,5.9,喜剧 / 动画 / 冒险,中国大陆/法国,2020,4388.0,1.0
1495,我的女友是机器人,3.5,喜剧 / 爱情 / 科幻,中国大陆,2020,4252.0,1.0
1496,绝地战警：疾速追击 Bad Boys for Life,5.7,喜剧 / 动作 / 犯罪,美国/墨西哥,2020,3417.0,0.0
1497,末日逃生 Greenland,5.4,剧情 / 科幻 / 灾难,美国/英国,2020,3200.0,0.0
1498,野性的呼唤 The Call of the Wild,7.0,剧情 / 冒险,加拿大/美国/葡萄牙,2020,3119.0,0.0
1499,死无对证 Il testimone invisibile,7.3,剧情 / 犯罪 / 悬疑 / 惊悚,意大利,2020,2803.0,0.0
1500,2019阅兵盛典,3.4,喜剧 / 爱情 / 奇幻,中国大陆,2020,2762.0,1.0
1501,抵达之谜,4.7,剧情 / 爱情,中国大陆,2020,2507.0,1.0
1502,隐形人 The Invisible Man,7.1,科幻 / 惊悚 / 恐怖,加拿大/澳大利亚/美国,2020,2302.0,0.0
1503,天道王,8.6,动画 / 奇幻 / 冒险,日本,2020,2215.0,0.0
1504,刺猬索尼克 Sonic the Hedgehog,6.0,喜剧 / 动作 / 动画 / 冒险,加拿大/日本/美国,2020,1886.0,0.0
1505,保家卫国——抗美援朝光影纪实,8.8,纪录片,中国大陆,2020,1858.0,1.0
1506,猎杀T34 T-34,7.5,动作 / 历史 / 战争,俄罗斯,2020,1808.0,0.0
1507,麦路人 麥路人,6.5,剧情,中国香港,2020,1765.0,1.0
1508,灭绝 Extinction,5.5,科幻 / 惊悚,美国,2020,1591.0,0.0
1509,假面饭店 マスカレード?ホテル,6.3,剧情 / 犯罪 / 悬疑,日本,2020,1526.0,0.0
1510,极速车王 Ford v Ferrari,8.5,剧情 / 传记 / 运动,美国,2020,1469.0,0.0
1511,海兽之子 海獣の子供,6.5,动画 / 奇幻 / 冒险,日本,2020,1426.0,0.0
1512,阿里巴巴与神灯,7.0,动作 / 冒险,英国/美国,2020,1362.0,0.0
1513,宝可梦：超梦的逆袭 进化 劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,6.1,动画 / 奇幻 / 冒险,日本,2020,1298.0,0.0
1514,七号房的礼物 7. Ko?u?taki Mucize,7.7,剧情,土耳其,2020,1174.0,0.0
1515,网络凶铃,3.5,惊悚 / 恐怖,中国大陆,2020,1098.0,1.0
1516,妙先生,6.2,动画 / 奇幻 / 冒险,中国大陆,2020,1052.0,1.0
1517,乔乔的异想世界 Jojo Rabbit,8.3,剧情 / 喜剧 / 战争,美国/捷克/新西兰,2020,960.0,0.0
1518,萌宠流浪记 Trouble,5.6,喜剧 / 动画 / 家庭,加拿大/美国/开曼群岛,2020,866.0,0.0
1519,未来的未来 未来のミライ,6.6,动画 / 奇幻,日本,2020,813.0,0.0
1520,木兰：横空出世,3.2,喜剧 / 动作 / 动画,中国大陆,2020,761.0,1.0
1521,十三猎杀,3.2,动作,中国大陆,2020,683.0,1.0
1522,菊次郎的夏天 菊次郎の夏,8.9,剧情 / 喜剧,日本,2020,597.0,0.0
1523,蓝色防线,8.5,战争 / 纪录片,中国大陆,2020,488.0,1.0
1524,第一次的离别,7.1,剧情 / 儿童,中国大陆,2020,438.0,1.0
1525,掬水月在手,7.8,传记 / 纪录片,中国大陆,2020,415.0,1.0
1526,飞奔去月球 Over the Moon,6.0,动画 / 冒险 / 家庭,美国/中国大陆,2020,399.0,1.0
1527,魔发精灵2 Trolls World Tour,6.4,动画 / 奇幻 / 冒险 / 歌舞,美国,2020,384.0,0.0
1528,致敬英雄,6.4,剧情 / 传记 / 历史,美国/俄罗斯/英国,2020,343.0,0.0
1529,再见吧！少年,6.7,剧情,中国大陆,2020,332.0,1.0
1530,流浪地球,7.9,科幻 / 冒险 / 灾难,中国大陆,2020,276.0,1.0
1531,士兵顺溜：兵王争锋,3.0,剧情 / 喜剧,中国大陆,2020,117.0,1.0
1532,武圣关公,4.0,动作 / 动画,中国大陆,2020,26.0,1.0
1533,长津湖,7.4,剧情 / 历史 / 战争,中国大陆/中国香港,2021,577007.0,1.0
1534,你好，李焕英,7.7,剧情 / 喜剧 / 奇幻,中国大陆,2021,541330.0,1.0
1535,唐人街探案3,5.3,喜剧 / 悬疑,中国大陆/中国香港/日本,2021,451459.0,1.0
1536,我和我的父辈,6.5,剧情,中国大陆,2021,147232.0,1.0
1537,速度与激情9 F9: The Fast Saga,5.2,动作 / 犯罪,美国,2021,139232.0,0.0
1538,怒火·重案 怒火,7.2,动作 / 犯罪,中国香港/中国大陆,2021,132694.0,1.0
1539,中国医生,6.9,剧情 / 灾难,中国大陆,2021,13.244,1.0
1540,哥斯拉大战金刚 Godzilla vs Kong,6.3,动作 / 科幻 / 冒险,美国/澳大利亚/加拿大/印度,2021,122739.0,0.0
1541,悬崖之上,7.6,剧情 / 动作 / 悬疑,中国大陆/中国香港,2021,119004.0,1.0
1542,误杀2,5.7,剧情 / 犯罪,中国大陆,2021,111823.0,1.0
1543,刺杀小说家,6.5,动作 / 奇幻 / 冒险,中国大陆,2021,103186.0,1.0
1544,穿过寒冬拥抱你,6.0,剧情 / 爱情,中国大陆,2021,93668.0,1.0
1545,扬名立万,7.4,剧情 / 喜剧 / 悬疑,中国大陆,2021,92053.0,1.0
1546,我的姐姐,6.9,剧情 / 家庭,中国大陆,2021,85965.0,1.0
1547,你的婚礼,4.7,爱情,中国大陆,2021,78888.0,1.0
1548,人潮汹涌,6.5,喜剧 / 犯罪,中国大陆/中国香港,2021,75963.0,1.0
1549,反贪风暴5：最终章 G風暴,4.6,动作 / 犯罪,中国香港/中国大陆,2021,62600.0,1.0
1550,失控玩家 Free Guy,7.5,喜剧 / 动作 / 科幻,美国/加拿大,2021,61246.0,0.0
1551,熊出没·狂野大陆,6.3,喜剧 / 科幻 / 动画,中国大陆,2021,58327.0,1.0
1552,白蛇2：青蛇劫起,6.8,动画 / 奇幻 / 冒险,中国大陆,2021,57751.0,1.0
1553,1921,6.7,剧情 / 历史,中国大陆,2021,50388.0,1.0
1554,新神榜：哪吒重生,6.8,动作 / 动画 / 奇幻,中国大陆,2021,45007.0,1.0
1555,峰爆,6.3,剧情 / 动作 / 灾难,中国大陆,2021,43547.0,1.0
1556,古董局中局,5.9,剧情 / 悬疑 / 冒险,中国大陆/中国香港,2021,42941.0,1.0
1557,007：无暇赴死 No Time to Die,6.6,动作 / 惊悚 / 冒险,英国/美国,2021,4.1452,0.0
1558,扫黑·决战,6.0,剧情 / 动作 / 犯罪,中国大陆,2021,40410.00000000001,1.0
1559,盛夏未来,7.1,剧情,中国大陆,2021,38421.0,1.0
1560,我要我们在一起,6.0,剧情 / 爱情,中国大陆,2021,32498.999999999996,1.0
1561,侍神令,5.3,奇幻,中国大陆,2021,27409.0,1.0
1562,哆啦A梦：伴我同行2 STAND BY ME ドラえもん2,7.1,剧情 / 动画,日本,2021,26982.0,0.0
1563,当男人恋爱时 當男人戀愛時,6.3,爱情,中国台湾/中国香港,2021,26180.0,1.0
1564,爱情神话,8.1,剧情 / 喜剧 / 爱情,中国大陆,2021,25993.0,1.0
1565,沙丘 Dune,7.7,剧情 / 科幻 / 冒险,美国,2021,25332.0,0.0
1566,寂静之地2 A Quiet Place: Part II,6.4,科幻 / 惊悚 / 恐怖,美国,2021,24949.0,0.0
1567,雄狮少年,8.3,剧情 / 喜剧 / 动画,中国大陆,2021,24822.000000000004,1.0
1568,追虎擒龙,5.0,剧情 / 动作 / 犯罪,中国香港/中国大陆,2021,24335.0,1.0
1569,门锁,4.3,剧情 / 犯罪 / 惊悚,中国大陆,2021,24183.0,1.0
1570,大红包,4.7,喜剧 / 爱情,中国大陆,2021,23527.999999999996,1.0
1571,以年为单位的恋爱,5.2,爱情,中国大陆,2021,23102.999999999996,1.0
1572,名侦探柯南：绯色的子弹 名探偵コナン 緋色の弾丸,5.6,动作 / 动画 / 悬疑 / 冒险,日本,2021,21488.0,0.0
1573,秘密访客,5.3,悬疑 / 惊悚,中国大陆,2021,21487.0,1.0
1574,比得兔2：逃跑计划 Peter Rabbit 2: The Runaway,7.0,喜剧 / 动画 / 冒险,澳大利亚/印度/美国/英国/加拿大,2021,19778.0,0.0
1575,人之怒 Wrath of Man,6.7,动作 / 犯罪,美国/英国,2021,16153.0,0.0
1576,燃野少年的天空,4.5,喜剧 / 歌舞,中国大陆,2021,16074.0,1.0
1577,黑白魔女库伊拉 Cruella,6.8,喜剧 / 犯罪,美国,2021,15470.0,0.0
1578,许愿神龙 Wish Dragon,6.5,喜剧 / 动画 / 奇幻,中国大陆/美国/中国香港,2021,15215.0,1.0
1579,关于我妈的一切,6.3,剧情 / 家庭,中国大陆,2021,14998.0,1.0
1580,了不起的老爸,6.5,剧情 / 喜剧 / 运动 / 家庭,中国大陆,2021,14856.0,1.0
1581,超越,5.0,剧情 / 喜剧 / 运动,中国大陆,2021,14282.0,1.0
1582,铁道英雄,5.8,剧情 / 动作 / 历史 / 战争,中国大陆,2021,14159.0,1.0
1583,你好世界 HELLO WORLD,6.8,爱情 / 动画 / 奇幻,日本,2021,13613.0,0.0
1584,革命者,7.5,剧情 / 历史,中国大陆,2021,13283.0,1.0
1585,守岛人,7.4,剧情,中国大陆,2021,12653.000000000002,1.0
1586,明日之战 The Tomorrow War,5.9,动作 / 科幻 / 冒险,美国,2021,12385.0,0.0
1587,寻龙传说 Raya and The Last Dragon,7.0,动画 / 奇幻 / 冒险,美国,2021,12186.999999999998,0.0
1588,西游记之再世妖王,5.3,动作 / 动画 / 奇幻,中国大陆,2021,11238.0,1.0
1589,缉魂 緝魂,6.8,科幻 / 犯罪 / 悬疑 / 惊悚,中国大陆/中国台湾,2021,10875.999999999998,1.0
1590,猫和老鼠 Tom and Jerry,5.2,喜剧 / 动画 / 冒险,英国/美国,2021,9661.0,0.0
1591,阳光姐妹淘,4.4,喜剧,中国大陆,2021,9497.0,1.0
1592,陪你很久很久,4.7,喜剧 / 爱情,中国台湾,2021,9254.0,1.0
1593,新大头儿子和小头爸爸4：完美爸爸,5.0,动画 / 奇幻 / 冒险,中国大陆,2021,9199.0,1.0
1594,夏日友晴天 Luca,7.3,喜剧 / 动画 / 奇幻 / 冒险,美国,2021,8869.0,0.0
1595,猪猪侠大电影·恐龙日记,4.6,儿童 / 动画,中国大陆,2021,7810.0,1.0
1596,贝肯熊2：金牌特工,4.6,动画 / 冒险,中国大陆,2021,7610.0,1.0
1597,第十一回,7.2,剧情 / 喜剧,中国大陆,2021,7397.0,1.0
1598,俑之城,5.8,动画 / 奇幻 / 冒险,中国大陆,2021,6970.0,1.0
1599,八月未央,3.2,爱情,中国大陆,2021,6793.0,1.0
1600,不速来客,6.6,喜剧 / 悬疑,中国大陆,2021,6710.0,1.0
1601,入殓师 おくりびと,8.9,剧情,日本,2021,6551.0,0.0
1602,第一炉香,5.0,剧情 / 爱情,中国大陆,2021,6419.0,1.0
1603,热带往事,6.2,剧情 / 犯罪 / 悬疑,中国大陆,2021,6408.0,1.0
1604,五个扑水的少年,7.2,喜剧 / 运动,中国大陆,2021,6259.0,1.0
1605,我的青春有个你,4.2,剧情 / 爱情,中国大陆,2021,6204.0,1.0
1606,皮皮鲁与鲁西西之罐头小人,6.2,儿童 / 喜剧 / 奇幻,中国大陆,2021,5749.0,1.0
1607,大耳朵图图之霸王龙在行动,5.6,喜剧 / 动画 / 冒险,中国大陆,2021,5388.0,1.0
1608,宝可梦：皮卡丘和可可的冒险 劇場版 ポケットモンスター ココ,6.6,剧情 / 动画 / 冒险,日本,2021,5042.0,0.0
1609,我没谈完的那场恋爱,4.1,爱情,中国大陆,2021,4913.0,1.0
1610,平安中国之守护者,4.3,犯罪,中国大陆,2021,4754.0,1.0
1611,丛林奇航 Jungle Cruise,6.1,喜剧 / 动作 / 奇幻 / 冒险,美国,2021,4487.0,0.0
1612,阳光劫匪,3.7,喜剧 / 奇幻,中国大陆,2021,4374.0,1.0
1613,没有过不去的年,5.6,剧情 / 家庭,中国大陆,2021,4314.0,1.0
1614,海底小纵队：火焰之环,6.7,动画 / 奇幻 / 冒险,中国大陆/英国,2021,4163.0,1.0
1615,济公之降龙降世,4.4,动画 / 奇幻 / 冒险,中国大陆,2021,4054.0,1.0
1616,拯救甜甜圈：时空大营救,6.0,喜剧 / 动画 / 冒险,中国大陆/美国,2021,3798.0,1.0
1617,不老奇事,6.2,剧情 / 爱情,中国大陆,2021,3609.0,1.0
1618,曾经相爱的我们,2.8,爱情,中国大陆,2021,3602.0,1.0
1619,波斯语课 Persischstunden,8.1,剧情,俄罗斯/德国/白俄罗斯,2021,3454.0,0.0
1620,老鹰抓小鸡,6.1,动画,中国大陆,2021,3439.0,1.0
1621,感动她77次 感動她77次,4.3,喜剧 / 爱情,中国香港/中国大陆,2021,3221.0,1.0
1622,明天会好的,4.7,喜剧 / 爱情,中国大陆,2021,3056.0,1.0
1623,二哥来了怎么办,4.2,喜剧,中国大陆,2021,3047.0,1.0
1624,你的世界如果没有我,3.5,剧情 / 爱情,中国大陆,2021,3035.0,1.0
1625,一百零八,5.0,剧情 / 爱情,中国大陆,2021,2965.0,1.0
1626,测谎人,2.8,喜剧 / 爱情,中国大陆,2021,2788.0,1.0
1627,天书奇谭,9.2,动画 / 奇幻,中国大陆,2021,2700.0,1.0
1628,兔子暴力,5.8,剧情 / 犯罪 / 家庭,中国大陆,2021,2663.0,1.0
1629,21座桥 21 Bridges,6.5,动作 / 犯罪 / 悬疑,美国,2021,2567.0,0.0
1630,大城大楼,4.8,喜剧 / 爱情 / 奇幻,中国大陆,2021,2483.0,1.0
1631,迷你特工队之拯救恐龙王 ??? ?????: ??? ??,4.6,动画,韩国,2021,2239.0,0.0
1632,武汉日夜,7.5,纪录片,中国大陆,2021,2229.0,1.0
1633,歌声的翅膀,7.2,剧情,中国大陆,2021,2170.0,1.0
1634,再见，少年,4.2,剧情,中国大陆,2021,2024.0,1.0
1635,普罗米亚 プロメア,7.8,剧情 / 动作 / 科幻 / 动画,日本,2021,1988.0,0.0
1636,图兰朵：魔咒缘起,3.1,爱情 / 奇幻,中国大陆,2021,1889.0,1.0
1637,银行家 The Banker,7.4,剧情 / 传记,美国,2021,1851.0,0.0
1638,日不落酒店,3.1,喜剧,中国大陆,2021,1783.0,1.0
1639,妈妈的神奇小子 媽媽的神奇小子,6.8,剧情 / 传记 / 运动,中国香港/中国大陆,2021,1777.0,1.0
1640,匹诺曹 Pinocchio,6.2,奇幻,意大利/法国/英国,2021,1676.0,0.0
1641,真·三国无双,3.9,动作 / 奇幻 / 古装,中国大陆/中国香港,2021,1557.0,1.0
1642,乌海,5.7,剧情 / 爱情 / 悬疑,中国大陆,2021,1478.0,1.0
1643,流浪猫鲍勃2：鲍勃的礼物 A Christmas Gift From Bob,6.6,剧情 / 喜剧,英国,2021,1474.0,0.0
1644,有一点动心,4.1,爱情,中国大陆,2021,1446.0,1.0
1645,越界,2.8,惊悚 / 恐怖,中国大陆,2021,1391.0,1.0
1646,山海经之小人国,4.6,儿童 / 动画 / 冒险,中国大陆/美国/加拿大/挪威,2021,1383.0,1.0
1647,最后一间房,4.3,爱情 / 悬疑 / 惊悚,中国大陆,2021,1383.0,1.0
1648,狼行者 Wolfwalkers,7.7,动画 / 奇幻 / 冒险,爱尔兰/英国/卢森堡/法国,2021,1328.0,0.0
1649,白蛇传·情,8.0,剧情 / 爱情 / 戏曲,中国大陆,2021,1289.0,1.0
1650,吉祥如意,7.7,剧情 / 家庭,中国大陆,2021,1222.0,1.0
1651,野马分鬃,6.4,剧情,中国大陆,2021,1170.0,1.0
1652,特种部队：蛇眼起源 Snake Eyes: G.I. Joe Origins,4.3,动作 / 科幻 / 冒险,加拿大/美国,2021,1142.0,0.0
1653,我的爸爸是森林之王2 Bigfoot Family,6.0,动画 / 冒险 / 家庭,比利时/法国,2021,1065.0,0.0
1654,超级的我,4.8,奇幻 / 冒险,中国大陆,2021,941.0,1.0
1655,合法伴侣,3.4,喜剧 / 爱情,中国大陆/中国香港,2021,881.0,1.0
1656,梦境人生,3.6,剧情 / 爱情 / 悬疑,中国大陆,2021,734.0,1.0
1657,忠犬流浪记,5.4,剧情 / 冒险,中国大陆,2021,683.0,1.0
1658,一直游到海水变蓝,6.7,纪录片,中国大陆,2021,677.0,1.0
1659,乔西的虎与鱼 ジョゼと虎と魚たち,6.4,动画,日本,2021,677.0,0.0
1660,混沌行走 Chaos Walking,5.2,动作 / 科幻 / 冒险,美国/加拿大,2021,662.0,0.0
1661,千顷澄碧的时代,5.7,剧情 / 家庭,中国大陆,2021,388.0,1.0
1662,叱咤风云,4.2,剧情 / 爱情 / 运动,中国台湾,2021,358.0,1.0
1663,长津湖之水门桥,7.2,剧情 / 历史 / 战争,中国大陆/中国香港,2022,406698.0,1.0
1664,独行月球,6.6,喜剧 / 科幻,中国大陆,2022,310525.0,1.0
1665,这个杀手不太冷静,6.2,喜剧,中国大陆,2022,262122.0,1.0
1666,人生大事,7.3,剧情 / 家庭,中国大陆/中国香港,2022,17.131,1.0
1667,万里归途,7.4,剧情 / 战争,中国大陆,2022,15.921,1.0
1668,奇迹·笨小孩,7.4,剧情,中国大陆,2022,137392.0,1.0
1669,侏罗纪世界3 Jurassic World: Dominion,6.0,动作 / 科幻 / 冒险,美国/马耳他,2022,105891.0,0.0
1670,熊出没·重返地球,6.5,儿童 / 喜剧 / 动画,中国大陆,2022,96380.0,1.0
1671,神探大战 神探大戰,6.7,动作 / 犯罪 / 悬疑,中国香港/中国大陆,2022,70920.0,1.0
1672,明日战记 明日戰記,6.1,动作 / 科幻,中国香港/中国大陆,2022,67931.0,1.0
1673,狙击手,7.7,剧情 / 历史 / 战争,中国大陆,2022,59871.99999999999,1.0
1674,新神榜：杨戬,7.0,动作 / 动画 / 奇幻 / 冒险,中国大陆,2022,55641.99999999999,1.0
1675,哥，你好,4.8,剧情 / 喜剧 / 奇幻,中国大陆,2022,54856.0,1.0
1676,四海,5.3,喜剧 / 动作 / 爱情,中国大陆,2022,53964.0,1.0
1677,李茂扮太子,4.3,喜剧 / 古装,中国大陆,2022,45991.0,1.0
1678,坏蛋联盟 The Bad Guys,7.3,喜剧 / 动画 / 冒险,美国,2022,33523.0,0.0
1679,小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,7.1,喜剧 / 科幻 / 犯罪 / 动画 / 冒险,美国,2022,23877.0,0.0
1680,断·桥,6.1,剧情 / 犯罪,中国大陆,2022,23233.0,1.0
1681,外太空的莫扎特,4.3,喜剧 / 科幻 / 家庭,中国大陆,2022,22397.0,1.0
1682,平凡英雄,6.3,剧情,中国大陆,2022,21490.0,1.0
1683,神奇动物：邓布利多之谜 Fantastic Beasts: The Secrets of Dumbledore,5.9,奇幻 / 冒险,英国/美国,2022,19419.0,0.0
1684,扫黑行动,4.6,动作 / 犯罪,中国大陆,2022,17355.0,1.0
1685,十年一品温如言,2.8,剧情 / 爱情,中国大陆,2022,16724.0,1.0
1686,边缘行者,5.0,动作 / 犯罪 / 悬疑,中国大陆/中国香港,2022,16445.0,1.0
1687,新蝙蝠侠 The Batman,7.2,剧情 / 动作 / 犯罪 / 悬疑,美国,2022,16324.0,0.0
1688,我是真的讨厌异地恋,4.4,爱情,中国大陆,2022,16106.0,1.0
1689,喜羊羊与灰太狼之筐出未来,6.8,喜剧 / 动画 / 运动,中国大陆,2022,15867.0,1.0
1690,月球陨落 Moonfall,5.2,科幻 / 灾难,美国/中国大陆/英国,2022,15309.0,1.0
1691,神秘海域 Uncharted,6.3,动作 / 冒险,美国,2022,14939.0,0.0
1692,暗恋·橘生淮南,4.2,爱情,中国大陆,2022,13455.0,1.0
1693,精灵旅社4：变身大冒险 Hotel Transylvania 4: Transformania,6.3,喜剧 / 动画 / 奇幻 / 冒险,美国,2022,12376.0,0.0
1694,一周的朋友,4.6,剧情,中国大陆,2022,12108.000000000002,1.0
1695,好想去你的世界爱你,4.5,喜剧 / 爱情 / 奇幻,中国大陆,2022,10812.0,1.0
1696,还是觉得你最好 飯戲攻心,7.4,喜剧 / 爱情,中国香港,2022,10638.0,1.0
1697,哆啦A梦：大雄的宇宙小战争2021 ドラえもん のび太の宇宙小戦争リトル?スター?ウォーズ2021,6.1,剧情 / 科幻 / 动画 / 冒险,日本,2022,9828.0,0.0
1698,花束般的恋爱 花束みたいな恋をした,8.6,剧情 / 爱情,日本,2022,8782.0,0.0
1699,新大头儿子和小头爸爸5：我的外星朋友,5.7,儿童 / 喜剧 / 动画 / 家庭,中国大陆,2022,8275.0,1.0
1700,汪汪队立大功大电影 Paw Patrol: The Movie,7.2,喜剧 / 动画 / 冒险,美国/加拿大,2022,8016.0,0.0
1701,遇见你,5.0,爱情,中国大陆,2022,7809.0,1.0
1702,妈妈！,7.5,剧情,中国大陆,2022,7689.0,1.0
1703,魔法满屋 Encanto,6.4,动画 / 奇幻 / 歌舞,美国,2022,7669.0,0.0
1704,密室逃生2 Escape Room  2,6.2,悬疑 / 惊悚,美国/南非,2022,7655.0,0.0
1705,海底小纵队：洞穴大冒险 Octonauts and the Caves of Sac Actun,7.2,喜剧 / 动画 / 冒险,英国,2022,7556.0,0.0
1706,尼罗河上的惨案 Death on the Nile,5.7,剧情 / 犯罪 / 悬疑,美国/英国,2022,6852.0,0.0
1707,我们的冬奥,3.1,剧情 / 爱情,中国大陆,2022,5603.0,1.0
1708,世间有她,5.5,剧情,中国大陆,2022,5585.0,1.0
1709,您好，北京,4.3,剧情,中国大陆,2022,5031.0,1.0
1710,山海经之再见怪兽,6.3,喜剧 / 动画 / 奇幻 / 冒险,中国大陆,2022,3778.0,1.0
1711,海的尽头是草原,7.1,剧情,中国大陆,2022,3600.0,1.0
1712,萌鸡小队：萌闯新世界,7.1,儿童 / 动画 / 冒险 / 家庭,中国大陆,2022,3436.0,1.0
1713,我的遗憾和你有关,3.9,剧情 / 爱情,中国大陆,2022,3240.0,1.0
1714,我是霸王龙,4.5,动画 / 奇幻 / 冒险,中国大陆,2022,3194.0,1.0
1715,误杀瞒天记 Drishyam,8.6,剧情 / 犯罪 / 悬疑,印度,2022,3148.0,0.0
1716,你是我的春天,4.6,剧情,中国大陆,2022,3048.0,1.0
1717,新灰姑娘2 Cinderella and the Spellbinder,5.0,动画 / 奇幻,中国大陆,2022,3021.0,1.0
1718,狼群,5.5,动作 / 战争,中国大陆,2022,2893.0,1.0
1719,猪猪侠大电影·海洋日记,5.7,动画,中国大陆,2022,2853.0,1.0
1720,迷你世界之觉醒,5.7,动画 / 冒险,中国大陆,2022,2207.0,1.0
1721,一直一直都很喜欢你,4.7,爱情,中国大陆,2022,2199.0,1.0
1722,最初的梦想 Chhichhore,6.9,剧情 / 喜剧,印度,2022,1912.0,0.0
1723,搜救,4.0,剧情 / 冒险 / 灾难,中国大陆,2022,1846.0,1.0
1724,东北虎,5.9,剧情 / 喜剧,中国大陆,2022,1691.0,1.0
1725,遇见你之后 The Italian Recipe,5.0,爱情,中国大陆/意大利/德国,2022,1635.0,1.0
1726,我们的样子像极了爱情,6.0,剧情 / 爱情,中国大陆,2022,1611.0,1.0
1727,亡命救护车 Ambulance,5.6,动作 / 犯罪,美国,2022,1556.0,0.0
1728,七人乐队 七人樂隊,6.4,剧情 / 历史,中国香港/中国大陆,2022,1317.0,1.0
1729,纽约的一个雨天 A Rainy Day in New York,7.3,喜剧 / 爱情,美国,2022,1270.0,0.0
1730,唐顿庄园2 Downton Abbey: A New Era,8.2,剧情 / 爱情,英国/美国,2022,1238.0,0.0
1731,猎屠,3.4,犯罪,中国大陆,2022,1224.0,1.0
1732,天才计划 Escape from Pretoria,7.1,剧情 / 犯罪 / 悬疑,英国/澳大利亚,2022,1150.0,0.0
1733,冲出地球,6.1,科幻 / 动画 / 冒险,中国大陆,2022,1005.0,1.0
1734,致我的陌生恋人 Mon inconnue,6.8,喜剧 / 爱情,法国/比利时,2022,876.0,0.0
1735,世界上最爱我的人,4.7,剧情 / 犯罪,中国大陆,2022,764.0,1.0
1736,忠犬帕尔玛 Пальма,7.3,剧情,俄罗斯,2022,692.0,0.0
1737,我的非凡父母,7.0,剧情 / 家庭,中国香港/中国大陆,2022,616.0,1.0
1738,漫长的告白,6.4,剧情 / 爱情 / 家庭,中国大陆,2022,607.0,1.0
1739,卧鼠藏虫,3.5,喜剧,中国大陆,2022,505.0,1.0
1740,如果有一天我将会离开你,7.0,剧情,中国大陆,2022,431.0,1.0
1741,巨星嫁到 Marry Me,5.6,喜剧 / 爱情 / 音乐,美国,2022,373.0,0.0
1742,天之书,4.5,喜剧,中国大陆,2022,92.0,1.0
